id,name,instructions
53,Maraschino Side Car,"Add ingredients in a mixing glass with fresh ice. Shake vigorously strain over fresh ice. Garnish with lemon peel to fit in glass and 1 dash of Abbott's Aromatic Bitters. Optional sugar rim.
"
54,The Royal Buck,"Add ingredients to a mixing glass except club soda. Shake over ice, strain over ice into a collins glass, top with club soda. Garnish with a lemon wedge and candied ginger on a pick."
55,Rx Hot Toddy,"Add ingredients to a mug and stir.

*Honey-Ginger Syrup:
Combine 1 part ginger with 2 parts honey and 1 cup of water and boil. Reduce heat and simmer for 5 mins. Strain and discard solids.

**Ghost-Pepper-Infused Campari:
Soak 1 ghost pepper in a 16 oz. bottle of Campari for up to 24 hrs (reduce infusion time to reduce heat).

***Cinnamon Tincture:
Soak 3 cinnamon sticks in 16 oz. of any neutral grain alcohol that is high proof (regular 80-proof vodka is great) for up to 14 days. Strain and discard the sticks."
56,Spanish G&T,"Add Junipero Gin and botanicals first. Add ice and follow with a bold tonic. Top with additional botanicals/garnish for presentation.

*Assorted Complementing Botanicals: Orange, Star Anise, Rose Petals, Italian Juniper"
57,Chilcano,Add pisco and lime juice into a highball glass filled with ice. Pour ginger ale into the glass to top. Add 2-3 drops of bitters. Garnish with lime wheel.
58,Kir Royale,"Add room temperature Creme de Cassis to the glass first, followed by the Champagne."
59,Kir,"Add room temperature Creme de Cassis to the glass first, followed by the wine."
60,Citrus Agave Caipirinha,"Add soda to bucket first, then add spirits and mixers. Top with ice and garnish."
61,Bermuda Highball,Add spirits and bitters to collins glass. Add large ice cubes and fill with club soda. Garnish with orange peel (or lemon peel).
62,Lux Cherry Sparkler,"Add the Cherry Liqueur to a flute, top with Prosecco, and garnish with a Luxardo Maraschino Cherry."
63,French Maid,"Add the cucumber, mint and simple syrup to a mixing glass and muddle. Add everything else, then shake with ice and strain into a Collins glass filled with ice. Garnish with a mint sprig poking through a cucumber wheel."
64,Karlsson's Mule,"Add vodka and lime juice to drinking glass, add ice, and top with ginger beer. Garnish with a lime."
65,Creek Ran Dry,"Barrel aged for 5 months in a used bourbon barrel.

Stir with ice and strain into a small coupe. Garnish with an orange twist."
66,Mandrake,"Barrel aged in a used bourbon barrel that previously held a cocktail containing Hine Cognac and Luxardo Bitter.

Stir with ice and strain into a small coupe. Garnish with an orange twist."
67,Redondo Beach,Blend with ice.
68,The Tahoe Toddy,"Boil water in a tea kettle. 

Squeeze lemon slice into the mug. Insert whole cloves into the lemon slice and drop it into the mug."
69,Pink Ribbon,Brown sugar cube soaked in Peychaud’s Bitters. Put soaked sugar cube in glass first. Pour .75 oz Pink Pigeon rum into flute over sugar cube. Fill remainder of the glass with champagne. Garnish with lemon twist.
70,Short Round II,Build & Stir. Hoshizaki Ice.
71,A Gift from Zara,Build all ingredients except for the Topo Chico in a wine glass. Fill the glass with cubed ice then top with Topo Chico by pouring it down a barspoon to incorporate. Zest the top with orange and place it in the glass. Add edible flowers for aroma and aesthetic.
72,Gin Made Me Do It,"Build all ingredients in a mixing glass, add ice and stir. Strain into a chilled martini glass and garnish with fresh fennel flowers."
73,Clearly Bitter,Build all ingredients in a mixing glass. Stir with ice and strain into coupe. Garnish with grapefruit peel.
74,Short Round,"Build all ingredients in a punch bowl and add ice, stir gently. Garnish with seasonal fruit and citrus wheels."
75,Ypioca Yellow Card,Build all into highball. Fill with ice. Top with soda water. Place pineapple leaf vertically in the glass.
76,Buzzard's Bay,Build and pour in punch bowl over large ice block.
77,Kick the Pigeon,Build and serve in a champagne flute.
78,Croatia Firing Squad,"Build cocktail in glass, add ice and stir. Garnish with rose petal."
79,The King's Ginger Summer Cup,Build in a glass over ice. Add lemon wheels and strawberries. Finish with a splash of fresh lemon or top up with some sparkling wine. This drink can also be made in jugs or punch bowls.
80,Pink Pigeon Punch,"Build in a large pitcher or punchbowl. Combine Pink Pigeon Rum, juice from 2 lemons and agave. Blend 7 oz. of fresh watermelon in a blender and puree to mixture. Add a generous amount of ice and stir. Top with ginger beer. Ladle or pour into coupe glasses."
81,Kentucky Garrigue,"Build in a mixing glass and add ice. Slowly pour back and forth between two tins, about 4-6 times. Then dump the whole cocktail into a Fizz or Collins glass."
82,Bitter Valencia,"Build in a mixing glass. Add ice. Stir to dilute. Strain into a Nick & Nora glass. Garnish with an orange twist.

*Clarified Milk:
-- 1 C Whole Milk
-- .5 oz Lemon Juice

Heat milk to just before a simmer, then add lemon juice. Lightly stir to break the solid from the whey. Let chill for 5 mins to allow the solids to properly separate. Coffee strain twice for clarity."
83,Chilcano (variation),"Build in an ice filled 14 oz beer glass, add BarSol Pisco, Ginger Liqueur, fresh lime juice, and agave nectar. Roll into a Boston shaker and shake to mix, place cranberry bitters on top, add ginger beer and garnish with a wedge of fresh lime."
84,Little Ground Tapper,Build in an old fashioned glass over ice. Garnish with orange peel.
85,Prince of Humbugs,Build in collins glass. Top with soda. Orange peel.
86,The Big Picture,Build in glass. Add crushed ice and swizzle. Top with more crushed ice. Dash pepita tincture on top for aromatics. Garnish with lemon wheel and dried fig.
