recipe_id,synergy_score,conflict_score,final_balance_score,synergy_normalized,conflict_normalized,balance_normalized,conflict_good,sqe_total,n_ingredients,roles_summary,base_count,modifier_count,acid_count,sweetener_count
109,1.8147239599428788,0.007578947368421,-0.3621386646354453,0.027094805829211418,0.007578947368421,0.5247076866017648,0.992421052631579,0.46597654410168765,2,"base:1,modifier:1",1.0,1.0,0.0,0.0
110,0.8165132228863838,0.0222833765182348,-0.3944879149096555,0.01219098205535709,0.0222833765182348,0.46920723729057334,0.9777166234817652,0.4389535510538444,3,"base:1,sweetener:1",1.0,0.0,0.0,1.0
111,1.16247552,0.011575669244418,-0.2685057505484582,0.017356385428780582,0.011575669244418,0.6853503215343869,0.988424330755582,0.5090749498585029,5,"base:1,modifier:2",1.0,2.0,0.0,0.0
112,0.060036768,0.0056842105263157,-0.3698647413589808,0.0008963812720170488,0.0056842105263157,0.5114523336667137,0.9943157894736843,0.45208898945092624,2,"base:1,modifier:1",1.0,1.0,0.0,0.0
113,3.158167670857136,0.0131301882874697,-0.4158907945407669,0.04715314378758763,0.0131301882874697,0.4324870837781739,0.9868698117125303,0.4446683261622463,8,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
114,0.36336552,0.0876746507437825,-0.2771382497240237,0.005425242861586693,0.0876746507437825,0.6705398520842082,0.9123253492562176,0.4770296575467624,3,"base:1,acid:1",1.0,0.0,1.0,0.0
115,4.200378448765671,0.0218622753037894,-0.2363929167264425,0.06271391186243687,0.0218622753037894,0.7404451596116199,0.9781377246962106,0.5406604300373239,4,"base:1,modifier:1,sweetener:1",1.0,1.0,0.0,1.0
116,0.8282919113376854,0.0497379266882849,-0.1564269294409967,0.01236684421596957,0.0497379266882849,0.8776399380480616,0.9502620733117151,0.5533173410943208,5,"base:1,modifier:1,sweetener:1",1.0,1.0,0.0,1.0
117,10.171716950312264,0.0099678377330176,-0.286972910343906,0.15186921085622537,0.0099678377330176,0.6536668773290035,0.9900321622669824,0.5538573962212859,7,"base:1,modifier:3,acid:1,sweetener:1",1.0,3.0,1.0,1.0
118,1.7434988982558606,0.0218623117409271,-0.2463380748476316,0.026031377308300664,0.0218623117409271,0.7233826082536097,0.9781376882590729,0.5208686398771251,4,"base:1,modifier:1,sweetener:1",1.0,1.0,0.0,1.0
119,1.4128677876247755,0.040960024478014,-0.5660270943251322,0.02109487680387808,0.040960024478014,0.1749036150634433,0.959039975521986,0.34862102789718,4,"base:1,sweetener:1",1.0,0.0,0.0,1.0
