recipe_id,canonical_name,amount,unit,amount_value,amount_ratio_all,amount_rank_all
35,passion fruit,1.5,oz,1.5,0.3157894736842105,2.0
35,condensed milk,1.0,oz,1.0,0.21052631578947367,3.0
35,sugar syrup,0.25,oz,0.25,0.05263157894736842,4.0
36,gin,0.75,oz,0.75,0.17647058823529413,1.0
36,lemon juice,0.75,oz,0.75,0.17647058823529413,1.0
36,bitter bianco,0.75,oz,0.75,0.17647058823529413,1.0
36,quinquina liqueur,0.75,oz,0.75,0.17647058823529413,1.0
36,egg white,0.75,oz,0.75,0.17647058823529413,1.0
36,simple syrup,0.5,oz,0.5,0.11764705882352941,2.0
37,ginger liqueur,0.5,oz,0.5,0.10526315789473684,3.0
37,lime,0.75,oz,0.75,0.15789473684210525,2.0
37,angostura bitters,1.0,dash,1.0,0.21052631578947367,1.0
37,whisky,1.0,oz,1.0,0.21052631578947367,1.0
37,peach shrub,0.5,oz,0.5,0.10526315789473684,3.0
37,grapefruit bitters,1.0,dash,1.0,0.21052631578947367,1.0
38,pisco,2.0,oz,2.0,0.3333333333333333,1.0
38,pineapple juice,2.0,oz,2.0,0.3333333333333333,1.0
38,simple syrup,1.0,oz,1.0,0.16666666666666666,2.0
38,lime juice,1.0,oz,1.0,0.16666666666666666,2.0
39,cachaca,2.0,oz,2.0,0.4,1.0
39,condensed milk,1.5,oz,1.5,0.3,2.0
39,passion fruit,1.0,oz,1.0,0.2,3.0
39,sugar syrup,0.5,oz,0.5,0.1,4.0
40,gin,1.0,oz,1.0,0.3333333333333333,1.0
40,vermouth,1.0,oz,1.0,0.3333333333333333,1.0
40,campari,1.0,oz,1.0,0.3333333333333333,1.0
41,angostura bitters,3.0,dash,3.0,0.5217391304347826,1.0
41,scotch whisky,2.0,oz,2.0,0.34782608695652173,2.0
41,vermouth,0.75,oz,0.75,0.13043478260869565,3.0
42,gin,1.0,oz,1.0,0.3333333333333333,1.0
42,applejack,1.0,oz,1.0,0.3333333333333333,1.0
42,apricot liqueur,1.0,oz,1.0,0.3333333333333333,1.0
43,maraschino liqueur,0.25,oz,0.25,0.06666666666666667,3.0
43,dubonnet,0.75,oz,0.75,0.2,2.0
43,gin,2.0,oz,2.0,0.5333333333333333,1.0
43,sweet vermouth,0.75,oz,0.75,0.2,2.0
44,maraschino liqueur,0.5,oz,0.5,0.14285714285714285,2.0
44,gin,1.5,oz,1.5,0.42857142857142855,1.0
44,pineau des charentes,1.5,oz,1.5,0.42857142857142855,1.0
45,maraschino liqueur,0.25,oz,0.25,0.05263157894736842,4.0
45,bourbon,2.0,oz,2.0,0.42105263157894735,1.0
45,simple syrup,0.5,oz,0.5,0.10526315789473684,3.0
45,angostura bitters,1.0,dash,1.0,0.21052631578947367,2.0
45,absinthe,1.0,dash,1.0,0.21052631578947367,2.0
46,maraschino liqueur,0.5,oz,0.5,0.10526315789473684,4.0
46,lime juice,0.75,oz,0.75,0.15789473684210525,3.0
46,grapefruit juice,0.5,oz,0.5,0.10526315789473684,4.0
46,absinthe,1.0,tsp,1.0,0.21052631578947367,2.0
46,rum,2.0,oz,2.0,0.42105263157894735,1.0
47,lime juice,0.75,oz,0.75,0.25,1.0
47,maraschino liqueur,0.75,oz,0.75,0.25,1.0
47,mezcal,0.75,oz,0.75,0.25,1.0
47,green chartreuse,0.75,oz,0.75,0.25,1.0
48,amaro,0.5,oz,0.5,0.125,3.0
48,lemon juice,0.75,oz,0.75,0.1875,2.0
48,egg white,0.5,oz,0.5,0.125,3.0
48,cognac,1.5,oz,1.5,0.375,1.0
48,strawberry syrup,0.75,oz,0.75,0.1875,2.0
49,cognac,1.5,oz,1.5,0.25,2.0
49,green chartreuse,0.75,oz,0.75,0.125,4.0
49,rye whiskey,0.75,oz,0.75,0.125,4.0
49,lemon bitters,2.0,dash,2.0,0.3333333333333333,1.0
49,fernet,1.0,splash,1.0,0.16666666666666666,3.0
50,angostura bitters,2.0,dash,2.0,0.047619047619047616,2.0
50,rum,40.0,ml,40.0,0.9523809523809523,1.0
50,ginger beer,,top,,,
101,simple syrup,0.25,oz,0.25,0.05263157894736842,4.0
101,rum,2.0,oz,2.0,0.42105263157894735,1.0
101,lime juice,1.5,oz,1.5,0.3157894736842105,2.0
101,cola,,oz,,,
101,fernet,1.0,float,1.0,0.21052631578947367,3.0
102,gin,1.5,oz,1.5,0.25,2.0
102,lemon juice,0.5,oz,0.5,0.08333333333333333,3.0
102,maraschino liqueur,0.25,oz,0.25,0.041666666666666664,4.0
102,violette liqueur,0.25,oz,0.25,0.041666666666666664,4.0
102,tonic water,3.5,oz,3.5,0.5833333333333334,1.0
103,lemon juice,0.25,oz,0.25,0.14285714285714285,3.0
103,maraschino liqueur,0.75,oz,0.75,0.42857142857142855,1.0
103,curacao,0.25,oz,0.25,0.14285714285714285,3.0
103,rye whiskey,0.5,oz,0.5,0.2857142857142857,2.0
104,lemon juice,0.75,oz,0.75,0.14285714285714285,3.0
104,ginger liqueur,1.0,oz,1.0,0.19047619047619047,2.0
104,simple syrup,0.5,oz,0.5,0.09523809523809523,4.0
104,gin,1.0,oz,1.0,0.19047619047619047,2.0
104,club soda,2.0,oz,2.0,0.38095238095238093,1.0
105,lemon juice,0.5,oz,0.5,0.047619047619047616,5.0
105,rye whiskey,1.5,oz,1.5,0.14285714285714285,3.0
