recipe_id,num_nodes,pair_count,C_flavor,C_role,C_type,C_ratio,C_flavor_norm,C_role_norm,C_type_norm,C_ratio_norm,conflict_score,conflict_normalized
190,7,21,0.7377099170736185,0.11999880000240015,0.6,0.0,0.03512904367017231,0.011538346154076937,0.02857142857142857,0.0,0.018903211029528286,0.018903211029528286
191,5,10,1.2051266251161339,0.7199952000192004,0.6,0.040000000000000036,0.12051266251161338,0.06923030769415388,0.06,0.008000000000000007,0.06789185045910474,0.06789185045910474
192,4,6,0.21951494289470647,0.7199976000048,0.0,0.04642857142857143,0.03658582381578441,0.06923053846199999,0.0,0.009285714285714286,0.033445010894409426,0.033445010894409426
193,7,21,0.7622047031655598,0.0,0.0,0.0,0.036295462055502846,0.0,0.0,0.0,0.009551437383027064,0.009551437383027064
194,3,3,0.021455025366431846,0.0,0.0,0.11318181818181819,0.007151675122143948,0.0,0.0,0.02263636363636364,0.0066475700082197,0.0066475700082197
195,4,6,0.4014784529895393,0.7199952000191999,0.0,0.1992857142857143,0.06691307549825655,0.06923030769415384,0.0,0.039857142857142855,0.04786188395183038,0.04786188395183038
196,3,3,0.03967067392644641,0.3,0.0,0.03500000000000003,0.013223557975482136,0.028846153846153844,0.0,0.007000000000000006,0.014062879629175462,0.014062879629175462
197,4,6,0.6816038985910853,0.7199952000191999,1.2,0.037142857142857144,0.11360064976518087,0.06923030769415384,0.19999999999999998,0.0074285714285714285,0.09542628319500597,0.09542628319500597
198,4,6,0.22959028805465798,0.7199976000048,0.0,0.13500000000000004,0.03826504800910966,0.06923053846199999,0.0,0.027000000000000007,0.037616235306186754,0.037616235306186754
199,5,10,0.10639079015498264,0.0,0.0,0.015555555555555567,0.010639079015498263,0.0,0.0,0.0031111111111111135,0.003454728395891357,0.003454728395891357
200,5,10,1.2275479474956377,2.4,0.6,0.0011764705882353122,0.12275479474956377,0.23076923076923075,0.06,0.00023529411764706243,0.11785950183335746,0.11785950183335746
201,6,15,0.7491765531740757,0.7199952000192004,0.0,0.03777777777777778,0.049945103544938384,0.06923030769415388,0.0,0.007555555555555556,0.036596294005886175,0.036596294005886175
202,4,6,0.10042336127493356,0.7199984000021332,0.0,0.0,0.016737226879155593,0.0692306153848205,0.0,0.0,0.02626683298445795,0.02626683298445795
203,6,15,0.002765035409749206,0.11999940000059994,0.0,0.0,0.0001843356939832804,0.011538403846211532,0.0,0.0,0.003692215870904505,0.003692215870904505
204,6,15,0.8788880957317691,0.7199952000191999,0.0,0.0,0.058592539715451274,0.06923030769415384,0.0,0.0,0.037281291828535755,0.037281291828535755
205,4,6,0.6280017955295778,0.0,0.0,0.03346153846153847,0.1046669659215963,0.0,0.0,0.0066923076923076944,0.028952845283011175,0.028952845283011175
206,6,15,0.6788621882355842,2.4,1.2,0.0,0.045257479215705616,0.23076923076923075,0.08,0.0,0.10162646214178488,0.10162646214178488
207,7,21,0.45210040062019635,0.0,0.0,0.0,0.021528590505723637,0.0,0.0,0.0,0.005665418554137799,0.005665418554137799
208,5,10,0.6773001178502398,0.7199952000192004,0.0,0.015000000000000013,0.06773001178502398,0.06923030769415388,0.0,0.0030000000000000027,0.04031746868894965,0.04031746868894965
209,5,10,0.5986886090078689,0.7199988000011999,0.0,0.005454545454545468,0.05986886090078689,0.06923065384626921,0.0,0.0010909090909090936,0.03784694020764138,0.03784694020764138
210,4,6,0.35208534073231673,0.7199976000047996,0.0,0.03777777777777778,0.05868089012205279,0.06923053846199996,0.0,0.007555555555555556,0.038895258084446625,0.038895258084446625
211,6,15,0.7219999577388541,0.11999880000240015,0.0,0.0,0.048133330515923604,0.011538346154076937,0.0,0.0,0.016310354184425245,0.016310354184425245
212,3,3,0.3165151389911681,0.0,0.0,0.18136363636363637,0.10550504633038937,0.0,0.0,0.036272727272727276,0.0354008495127819,0.0354008495127819
213,4,6,0.36322357995953103,0.11999880000240015,0.0,0.07961538461538463,0.06053726332658851,0.011538346154076937,0.0,0.015923076923076925,0.022926773749984836,0.022926773749984836
214,5,10,0.6257852520700105,2.4,0.0,0.06394736842105263,0.06257852520700105,0.23076923076923075,0.0,0.012789473684210526,0.09203504765195958,0.09203504765195958
