global_rank,anchor_name,anchor_form,global_key_score,avg_importance,shrunk_importance,total_importance,recipe_count,top1_count,top3_count,top5_count,top1_rate,top3_rate,top5_rate,role_base_spirit_count,role_modifier_count,role_acid_count,role_sweetener_count,role_bitters_count,role_garnish_count,role_dilution_count,role_other_count,avg_freq,max_freq,dominant_role,dominant_role_ratio,is_suspect_node
70,cardamom,unknown,0.26830447996295603,0.0702833957707071,0.03328087265991995,0.0702833957707071,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,True
71,new york apple whiskey,unknown,0.26830155815773726,0.0702355844125814,0.033275560286794875,0.0702355844125814,1,1,1,1,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0.0,0.0,base_spirit,1.0,False
72,apricot-infused h by hine,unknown,0.2682394139179195,0.069218678670109,0.033162570759853495,0.069218678670109,1,1,1,1,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0.0,0.0,base_spirit,1.0,True
73,irish whiskey,unknown,0.2681947698258251,0.0684881389812918,0.033081399683318254,0.0684881389812918,1,1,1,1,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0.0,0.0,base_spirit,1.0,False
74,oz la colombe cold draft coffee,unknown,0.2681382688370135,0.0675635773461937,0.0329786706127518,0.0675635773461937,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,True
75,woodchuck pumpkin cider,unknown,0.26809859161859845,0.0669143137721288,0.03290653021563347,0.0669143137721288,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0.0,0.0,dilution,1.0,True
76,float anchor california lager,unknown,0.2680466832482949,0.0660649040762523,0.032812151360536085,0.0660649040762523,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0.0,0.0,dilution,1.0,False
77,matcha,unknown,0.2680101386990315,0.0654669023610332,0.03274570672551174,0.0654669023610332,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,True
78,clarified milk,unknown,0.2679015475786053,0.063689956754059,0.03254826832473683,0.063689956754059,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,False
79,cherry tomatoes,unknown,0.2677776919737606,0.0616632286747823,0.03232307631592831,0.0616632286747823,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,True
80,cucumber juice,unknown,0.26772407369230755,0.0607858386146415,0.032225588531468216,0.0607858386146415,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,True
81,prichard's lincoln county lightning,unknown,0.2677148157901861,0.0606343456708349,0.032208755982156376,0.0606343456708349,1,1,1,1,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0.0,0.0,base_spirit,1.0,True
82,pecan syrup,unknown,0.26752198307552993,0.057478901249189,0.03185815104641795,0.057478901249189,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
83,champagne or prosecco,unknown,0.26740766089470924,0.055608174653941,0.03165029253583483,0.055608174653941,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0.0,0.0,dilution,1.0,False
84,compass box great king street glasgow blend,unknown,0.2671047112937736,0.0506508175477221,0.031099475079588285,0.0506508175477221,1,1,1,1,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0.0,0.0,base_spirit,1.0,True
85,glenrothes,unknown,0.26709185972686167,0.0504405191800723,0.031076108594293866,0.0504405191800723,1,1,1,1,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0.0,0.0,base_spirit,1.0,True
86,cranberry syrup,unknown,0.2670052941324837,0.0490239912720691,0.030918716604515728,0.0490239912720691,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
87,maraschino cherry,unknown,0.26696489132379997,0.0483628544026992,0.030845256952363523,0.0483628544026992,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,True
88,celery root puree,unknown,0.2669446563469095,0.0480317365990368,0.03080846608528992,0.0480317365990368,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,False
89,sarsaparilla syrup,unknown,0.2669048557831804,0.047380454647106,0.030736101423964275,0.047380454647106,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
90,thai basil syrup,unknown,0.2669012835369726,0.0473219997091604,0.03072960643085921,0.0473219997091604,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
91,chateau de montifaud xo silver,unknown,0.2668611094047064,0.0466646048175318,0.03065656255401159,0.0466646048175318,1,1,1,1,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0.0,0.0,base_spirit,1.0,True
92,honey jalapeño syrup,unknown,0.266813116925043,0.0458792733321303,0.03056930350007809,0.0458792733321303,1,1,1,1,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0,0.0,sweetener,1.0,False
93,black peppercorns,unknown,0.2667658295249152,0.0451054795118566,0.030483326408936567,0.0451054795118566,1,1,1,1,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0.0,0.0,other,1.0,True
